ten_power_0,ten_power_1,ten_power_2,ten_power_3,ten_power_4,ten_power_5,ten_power_6,sum_digits,digital_root,product_digits,last_two_digits,prime,number
9,4,5,2,2,4,6,32,5,17280,49,0,6422549
7,8,6,3,8,5,7,44,8,282240,87,0,7583687
3,5,6,9,2,8,1,34,7,12960,53,0,1829653
3,2,4,4,8,5,9,35,8,34560,23,0,9584423
3,0,6,2,1,7,9,28,1,0,3,0,9712603
7,1,5,4,7,4,8,36,9,31360,17,0,8474517
3,5,5,8,3,0,6,30,3,0,53,0,6038553
3,7,3,2,7,4,8,34,7,28224,73,0,8472373
1,0,8,0,5,5,9,28,1,0,1,0,9550801
7,9,4,5,2,2,5,34,7,25200,97,0,5225497
7,0,0,3,5,4,1,20,2,0,7,0,1453007
9,3,8,2,9,8,3,42,6,93312,39,0,3892839
3,7,4,6,4,2,5,31,4,20160,73,0,5246473
3,6,7,4,2,0,3,25,7,0,63,0,3024763
7,1,8,3,9,8,3,39,3,36288,17,0,3893817
9,6,7,9,2,1,8,42,6,54432,69,0,8129769
3,4,4,3,2,3,3,22,4,2592,43,0,3323443
3,2,3,5,5,0,3,21,3,0,23,0,3055323
1,1,6,1,6,4,6,25,7,864,11,0,6461611
9,3,2,3,4,4,1,26,8,2592,39,0,1443239
9,2,6,9,6,2,5,39,3,58320,29,0,5269629
7,0,5,8,6,2,2,30,3,0,7,0,2268507
3,1,3,9,9,4,1,30,3,2916,13,0,1499313
9,7,7,1,2,0,6,32,5,0,79,0,6021779
7,4,9,1,5,3,9,38,2,34020,47,0,9351947
3,4,8,4,0,8,3,30,3,0,43,0,3804843
3,6,6,9,8,4,6,42,6,186624,63,0,6489663
7,0,6,2,7,5,3,30,3,0,7,0,3572607
3,4,5,1,4,9,7,33,6,15120,43,0,7941543
1,5,0,4,4,5,5,24,6,0,51,0,5544051
1,9,4,4,7,1,6,32,5,6048,91,0,6174491
9,4,5,0,0,2,2,22,4,0,49,0,2200549
3,8,9,0,6,8,3,37,1,0,83,0,3860983
7,9,0,7,1,4,2,30,3,0,97,0,2417097
3,5,7,3,1,3,1,23,5,945,53,0,1313753
1,0,6,3,2,0,3,15,6,0,1,0,3023601
7,1,0,0,5,7,6,26,8,0,17,0,6750017
1,2,7,0,8,7,3,28,1,0,21,0,3780721
9,2,8,7,4,0,1,31,4,0,29,0,1047829
7,3,4,9,7,0,7,37,1,0,37,0,7079437
3,7,9,2,7,6,5,39,3,79380,73,0,5672973
1,4,8,4,9,8,4,38,2,36864,41,0,4894841
3,9,8,9,0,4,9,42,6,0,93,0,9409893
3,4,0,9,9,8,7,40,4,0,43,0,7899043
7,1,3,7,5,2,4,29,2,5880,17,0,4257317
9,6,5,2,1,3,9,35,8,14580,69,0,9312569
7,6,2,7,3,6,4,35,8,42336,67,0,4637267
9,4,4,7,2,7,5,38,2,70560,49,0,5727449
9,1,8,7,1,3,9,38,2,13608,19,0,9317819
9,5,0,0,1,4,9,28,1,0,59,0,9410059
7,5,2,5,3,9,2,33,6,18900,57,0,2935257
