ten_power_0,ten_power_1,ten_power_2,ten_power_3,ten_power_4,ten_power_5,ten_power_6,sum_digits,digital_root,product_digits,last_two_digits,prime,number
3,2,7,8,2,3,6,31,4,12096,23,1,6328723
1,3,1,0,6,7,1,19,1,0,31,1,1760131
9,3,0,4,5,8,8,37,1,0,39,1,8854039
7,7,2,9,6,0,3,34,7,0,77,1,3069277
7,7,6,8,0,2,1,31,4,0,77,1,1208677
1,9,8,4,2,5,9,38,2,25920,91,1,9524891
7,1,6,6,2,2,4,28,1,4032,17,1,4226617
1,2,4,3,5,0,8,23,5,0,21,1,8053421
9,1,0,5,3,0,4,22,4,0,19,1,4035019
9,9,2,6,1,5,6,38,2,29160,99,1,6516299
3,3,2,3,1,0,8,20,2,0,33,1,8013233
1,2,7,4,1,7,9,31,4,3528,21,1,9714721
1,3,1,1,4,4,6,20,2,288,31,1,6441131
3,2,8,5,8,5,3,34,7,28800,23,1,3585823
3,8,9,2,8,0,7,37,1,0,83,1,7082983
7,6,5,0,8,3,6,35,8,0,67,1,6380567
1,7,6,7,6,7,3,37,1,37044,71,1,3767671
7,0,3,2,9,5,9,35,8,0,7,1,9592307
3,2,4,1,2,1,1,14,5,48,23,1,1121423
1,5,6,1,9,1,5,28,1,1350,51,1,5191651
9,7,3,6,3,6,1,35,8,20412,79,1,1636379
3,5,2,1,0,8,6,25,7,0,53,1,6801253
7,8,3,3,9,6,4,40,4,108864,87,1,4693387
7,4,5,6,5,4,3,34,7,50400,47,1,3456547
7,3,3,7,0,4,2,26,8,0,37,1,2407337
9,4,0,8,0,9,2,32,5,0,49,1,2908049
3,9,0,2,0,7,2,23,5,0,93,1,2702093
7,0,0,7,9,3,2,28,1,0,7,1,2397007
9,6,6,3,0,1,9,34,7,0,69,1,9103669
3,7,4,8,7,0,2,31,4,0,73,1,2078473
7,5,5,0,7,0,4,28,1,0,57,1,4070557
1,6,6,9,2,7,7,38,2,31752,61,1,7729661
3,4,4,0,8,7,2,28,1,0,43,1,2780443
9,0,2,9,9,2,4,35,8,0,9,1,4299209
3,9,4,1,9,8,3,37,1,23328,93,1,3891493
1,5,3,3,0,8,6,26,8,0,51,1,6803351
7,9,7,0,3,9,9,44,8,0,97,1,9930797
1,5,2,8,1,6,8,31,4,3840,51,1,8618251
9,3,7,8,1,6,1,35,8,9072,39,1,1618739
3,0,3,7,7,7,8,35,8,0,3,1,8777303
3,1,1,5,8,4,6,28,1,2880,13,1,6485113
3,4,0,3,1,6,2,19,1,0,43,1,2613043
3,7,3,7,8,0,3,31,4,0,73,1,3087373
9,9,9,7,1,7,8,50,5,285768,99,1,8717999
7,3,5,6,4,9,7,41,5,158760,37,1,7946537
7,8,6,8,0,1,7,37,1,0,87,1,7108687
3,9,5,6,0,4,1,28,1,0,93,1,1406593
3,5,7,5,4,4,9,37,1,75600,53,1,9445753
3,0,5,3,0,5,3,19,1,0,3,1,3503503
1,2,3,9,4,4,6,29,2,5184,21,1,6449321
3,5,2,0,1,2,4,17,8,0,53,1,4210253
9,9,4,9,1,2,9,43,7,52488,99,1,9219499
1,1,0,0,9,1,5,17,8,0,11,1,5190011
9,5,0,2,5,5,2,28,1,0,59,1,2552059
3,6,8,8,7,5,6,43,7,241920,63,1,6578863
7,4,7,5,6,6,3,38,2,105840,47,1,3665747
9,3,5,1,7,7,9,41,5,59535,39,1,9771539
3,5,2,4,8,1,5,28,1,4800,53,1,5184253
7,8,3,4,9,1,8,40,4,48384,87,1,8194387
3,2,6,3,9,9,9,41,5,78732,23,1,9993623
7,8,3,3,0,4,6,31,4,0,87,1,6403387
9,8,7,7,0,1,3,35,8,0,89,1,3107789
9,1,6,0,7,8,1,32,5,0,19,1,1870619
7,8,3,6,0,3,5,32,5,0,87,1,5306387
9,9,1,4,5,9,3,40,4,43740,99,1,3954199
1,0,1,7,3,5,5,22,4,0,1,1,5537101
1,9,8,0,3,8,8,37,1,0,91,1,8830891
7,1,6,5,3,0,4,26,8,0,17,1,4035617
1,3,6,5,5,4,7,31,4,12600,31,1,7455631
3,8,1,3,6,4,6,31,4,10368,83,1,6463183
1,4,0,8,3,6,4,26,8,0,41,1,4638041
3,7,2,8,8,8,7,43,7,150528,73,1,7888273
7,8,5,4,5,7,8,44,8,313600,87,1,8754587
9,9,8,7,6,9,8,56,2,1959552,99,1,8967899
7,3,2,1,1,5,6,25,7,1260,37,1,6511237
9,1,1,1,9,0,8,29,2,0,19,1,8091119
1,5,4,9,0,3,4,26,8,0,51,1,4309451
1,6,6,1,2,8,8,32,5,4608,61,1,8821661
3,6,1,8,1,1,9,29,2,1296,63,1,9118163
1,4,6,0,5,1,2,19,1,0,41,1,2150641
9,1,4,1,5,9,3,32,5,4860,19,1,3951419
3,9,0,9,0,8,5,34,7,0,93,1,5809093
7,9,6,0,8,4,6,40,4,0,97,1,6480697
3,3,6,9,3,9,2,35,8,26244,33,1,2939633
7,5,9,7,0,9,3,40,4,0,57,1,3907957
7,3,2,4,9,9,4,38,2,54432,37,1,4994237
7,8,8,5,9,5,1,43,7,100800,87,1,1595887
7,5,8,6,8,5,7,46,1,470400,57,1,7586857
3,8,3,2,7,1,2,26,8,2016,83,1,2172383
7,9,3,8,6,0,8,41,5,0,97,1,8068397
7,3,9,2,6,4,3,34,7,27216,37,1,3462937
3,7,0,0,8,2,5,25,7,0,73,1,5280073
1,8,9,9,4,5,1,37,1,12960,81,1,1549981
9,8,1,7,0,5,4,34,7,0,89,1,4507189
9,4,6,6,0,5,1,31,4,0,49,1,1506649
7,7,8,5,3,2,6,38,2,70560,77,1,6235877
1,8,6,2,0,6,2,25,7,0,81,1,2602681
9,2,5,7,2,1,3,29,2,3780,29,1,3127529
3,8,9,2,1,7,5,35,8,15120,83,1,5712983
9,7,2,5,6,4,2,35,8,30240,79,1,2465279
3,6,7,0,8,8,3,35,8,0,63,1,3880763
3,8,0,4,6,8,2,31,4,0,83,1,2864083
3,0,7,9,1,8,9,37,1,0,3,1,9819703
7,5,8,0,8,5,8,41,5,0,57,1,8580857
9,9,1,1,4,1,9,34,7,2916,99,1,9141199
9,5,6,9,6,6,2,43,7,174960,59,1,2669659
9,9,8,1,5,5,7,44,8,113400,99,1,7551899
7,6,4,4,4,8,7,40,4,150528,67,1,7844467
9,4,9,2,7,3,9,43,7,122472,49,1,9372949
1,3,3,7,7,7,9,37,1,27783,31,1,9777331
1,1,5,5,2,3,8,25,7,1200,11,1,8325511
7,2,1,5,8,6,9,38,2,30240,27,1,9685127
7,1,8,9,5,0,4,34,7,0,17,1,4059817
7,7,0,4,9,2,2,31,4,0,77,1,2294077
1,5,4,5,2,8,1,26,8,1600,51,1,1825451
9,6,0,3,9,1,9,37,1,0,69,1,9193069
9,7,9,5,9,7,1,47,2,178605,79,1,1795979
3,0,9,4,5,7,4,32,5,0,3,1,4754903
9,8,5,8,5,1,2,38,2,28800,89,1,2158589
9,5,7,7,3,8,7,46,1,370440,59,1,7837759
7,7,1,1,2,6,7,31,4,4116,77,1,7621177
7,3,0,3,7,2,6,28,1,0,37,1,6273037
1,5,0,5,9,5,1,26,8,0,51,1,1595051
1,4,5,0,4,4,2,20,2,0,41,1,2440541
9,5,4,0,5,1,7,31,4,0,59,1,7150459
9,5,0,8,0,8,2,32,5,0,59,1,2808059
3,8,1,4,2,9,2,29,2,3456,83,1,2924183
9,1,5,8,5,7,2,37,1,25200,19,1,2758519
1,2,1,9,1,3,5,22,4,270,21,1,5319121
1,2,1,4,0,8,6,22,4,0,21,1,6804121
1,5,7,6,8,7,3,37,1,35280,51,1,3786751
7,6,8,3,4,6,4,38,2,96768,67,1,4643867
7,4,6,8,8,7,6,46,1,451584,47,1,6788647
3,4,1,1,2,4,4,19,1,384,43,1,4421143
7,4,4,1,5,8,9,38,2,40320,47,1,9851447
3,1,0,9,8,8,3,32,5,0,13,1,3889013
9,2,7,3,6,9,5,41,5,102060,29,1,5963729
7,3,1,7,3,0,8,29,2,0,37,1,8037137
1,5,2,8,5,3,1,25,7,1200,51,1,1358251
3,8,5,8,2,2,6,34,7,23040,83,1,6228583
7,2,9,6,4,9,4,41,5,108864,27,1,4946927
9,2,3,2,0,7,8,31,4,0,29,1,8702329
3,7,3,1,4,6,1,25,7,1512,73,1,1641373
3,7,7,9,0,6,9,41,5,0,73,1,9609773
3,4,0,4,1,7,3,22,4,0,43,1,3714043
1,5,0,7,7,9,5,34,7,0,51,1,5977051
7,9,4,7,3,7,4,41,5,148176,97,1,4737497
3,3,8,6,0,9,6,35,8,0,33,1,6906833
3,1,5,1,2,5,3,20,2,450,13,1,3521513
1,9,3,0,2,3,1,19,1,0,91,1,1320391
9,3,9,0,3,7,9,40,4,0,39,1,9730939
7,7,8,4,3,8,7,44,8,263424,77,1,7834877
9,2,0,3,5,0,7,26,8,0,29,1,7053029
7,5,5,7,8,7,2,41,5,137200,57,1,2787557
3,4,4,7,8,6,9,41,5,145152,43,1,9687443
3,8,5,3,8,1,4,32,5,11520,83,1,4183583
1,8,0,1,7,1,8,26,8,0,81,1,8171081
3,5,8,9,1,9,6,41,5,58320,53,1,6919853
9,9,2,7,6,4,9,46,1,244944,99,1,9467299
1,6,7,3,2,2,2,23,5,1008,61,1,2223761
9,6,6,4,4,4,2,35,8,41472,69,1,2444669
7,6,7,0,4,1,7,32,5,0,67,1,7140767
9,9,0,1,6,4,9,38,2,0,99,1,9461099
9,5,6,7,3,9,4,43,7,204120,59,1,4937659
3,0,5,3,6,4,1,22,4,0,3,1,1463503
9,9,7,4,5,7,6,47,2,476280,99,1,6754799
7,9,6,7,3,8,9,49,4,571536,97,1,9837697
9,1,0,3,3,8,4,28,1,0,19,1,4833019
1,9,2,0,9,5,8,34,7,0,91,1,8590291
3,3,1,1,7,8,2,25,7,1008,33,1,2871133
1,5,8,1,6,4,1,26,8,960,51,1,1461851
7,8,7,1,6,6,9,44,8,127008,87,1,9661787
3,4,8,0,6,4,6,31,4,0,43,1,6460843
1,6,1,8,5,6,4,31,4,5760,61,1,4658161
3,5,1,9,1,0,4,23,5,0,53,1,4019153
1,5,2,0,9,6,9,32,5,0,51,1,9690251
7,8,5,8,0,0,1,29,2,0,87,1,1008587
9,2,6,9,1,1,9,37,1,8748,29,1,9119629
9,5,8,2,2,6,3,35,8,25920,59,1,3622859
7,1,7,7,3,7,5,37,1,36015,17,1,5737717
9,1,0,4,5,5,8,32,5,0,19,1,8554019
1,3,2,3,6,2,9,26,8,1944,31,1,9263231
7,3,2,0,1,7,9,29,2,0,37,1,9710237
9,8,8,3,5,8,5,46,1,345600,89,1,5853889
3,4,6,1,8,2,8,32,5,9216,43,1,8281643
1,2,3,8,8,9,3,34,7,10368,21,1,3988321
9,0,0,3,4,5,7,28,1,0,9,1,7543009
1,6,8,5,6,4,1,31,4,5760,61,1,1465861
1,0,7,7,8,1,1,25,7,0,1,1,1187701
9,5,0,6,9,8,3,40,4,0,59,1,3896059
3,5,0,9,3,7,8,35,8,0,53,1,8739053
1,8,3,1,9,6,7,35,8,9072,81,1,7691381
3,2,3,6,0,2,7,23,5,0,23,1,7206323
1,7,3,9,7,7,3,37,1,27783,71,1,3779371
1,6,7,2,5,3,2,26,8,2520,61,1,2352761
7,4,8,6,5,9,1,40,4,60480,47,1,1956847
1,3,0,2,4,9,7,26,8,0,31,1,7942031
7,2,7,9,2,7,6,40,4,74088,27,1,6729727
9,3,2,3,5,5,4,31,4,16200,39,1,4553239
1,7,1,1,1,5,7,23,5,245,71,1,7511171
7,5,5,7,4,2,1,31,4,9800,57,1,1247557
7,9,6,3,1,7,7,40,4,55566,97,1,7713697
1,8,1,3,8,7,3,31,4,4032,81,1,3783181
9,4,0,2,7,4,2,28,1,0,49,1,2472049
9,6,7,6,2,0,8,38,2,0,69,1,8026769
3,6,5,9,8,1,9,41,5,58320,63,1,9189563
7,9,0,9,1,5,3,34,7,0,97,1,3519097
7,5,2,6,8,7,5,40,4,117600,57,1,5786257
3,7,1,1,6,0,8,26,8,0,73,1,8061173
1,6,1,8,9,4,5,34,7,8640,61,1,5498161
7,3,7,5,6,2,2,32,5,17640,37,1,2265737
7,8,9,0,9,2,8,43,7,0,87,1,8290987
1,4,2,9,0,5,7,28,1,0,41,1,7509241
9,2,1,0,4,6,6,28,1,0,29,1,6640129
9,7,1,4,6,6,7,40,4,63504,79,1,7664179
1,5,6,7,8,4,7,38,2,47040,51,1,7487651
1,8,6,0,3,1,4,23,5,0,81,1,4130681
7,9,1,6,1,4,1,29,2,1512,97,1,1416197
1,6,1,3,6,2,6,25,7,1296,61,1,6263161
7,6,1,1,9,4,6,34,7,9072,67,1,6491167
1,4,9,1,1,7,2,25,7,504,41,1,2711941
1,0,4,9,7,3,8,32,5,0,1,1,8379401
3,0,4,8,0,9,7,31,4,0,3,1,7908403
1,5,5,0,1,3,8,23,5,0,51,1,8310551
3,8,4,0,9,3,4,31,4,0,83,1,4390483
7,1,1,1,5,7,1,23,5,245,17,1,1751117
7,6,4,1,7,7,2,34,7,16464,67,1,2771467
1,1,3,2,3,6,7,23,5,756,11,1,7632311
3,9,2,3,4,5,9,35,8,29160,93,1,9543293
9,6,9,2,1,6,8,41,5,46656,69,1,8612969
3,3,0,8,7,1,1,23,5,0,33,1,1178033
3,3,8,5,7,5,4,35,8,50400,33,1,4575833
7,4,3,7,5,2,6,34,7,35280,47,1,6257347
7,2,2,2,9,0,9,31,4,0,27,1,9092227
1,4,2,0,3,1,3,14,5,0,41,1,3130241
9,7,3,9,4,1,7,40,4,47628,79,1,7149379
3,2,2,7,1,0,7,22,4,0,23,1,7017223
7,5,3,1,9,4,9,38,2,34020,57,1,9491357
9,9,0,7,3,9,3,40,4,0,99,1,3937099
7,7,7,1,1,5,3,31,4,5145,77,1,3511777
1,3,9,7,5,4,5,34,7,18900,31,1,5457931
3,4,8,7,1,5,7,35,8,23520,43,1,7517843
9,7,6,3,5,6,1,37,1,34020,79,1,1653679
3,0,0,4,5,7,7,26,8,0,3,1,7754003
3,0,8,3,6,7,7,34,7,0,3,1,7763803
9,8,9,9,8,9,3,55,1,1259712,89,1,3989989
1,4,0,9,3,4,5,26,8,0,41,1,5439041
9,3,1,0,4,4,8,29,2,0,39,1,8440139
9,1,3,6,7,5,3,34,7,17010,19,1,3576319
3,6,7,4,5,2,5,32,5,25200,63,1,5254763
3,6,8,9,5,5,2,38,2,64800,63,1,2559863
1,1,0,1,7,1,5,16,7,0,11,1,5171011
1,2,0,6,2,4,8,23,5,0,21,1,8426021
3,5,8,4,1,9,8,38,2,34560,53,1,8914853
3,6,7,5,7,6,1,35,8,26460,63,1,1675763
3,4,9,4,1,3,4,28,1,5184,43,1,4314943
9,1,6,9,7,3,3,38,2,30618,19,1,3379619
9,3,0,5,6,3,9,35,8,0,39,1,9365039
1,8,7,9,8,3,5,41,5,60480,81,1,5389781
1,5,2,4,8,4,8,32,5,10240,51,1,8484251
3,5,0,9,7,1,6,31,4,0,53,1,6179053
9,3,8,5,3,7,9,44,8,204120,39,1,9735839
3,0,0,2,5,1,3,14,5,0,3,1,3152003
1,7,7,8,0,2,6,31,4,0,71,1,6208771
3,5,1,1,8,9,1,28,1,1080,53,1,1981153
9,8,2,2,5,3,2,31,4,8640,89,1,2352289
3,3,4,2,5,1,2,20,2,720,33,1,2152433
1,2,6,6,3,3,8,29,2,5184,21,1,8336621
1,3,0,5,1,0,4,14,5,0,31,1,4015031
3,2,2,0,3,2,1,13,4,0,23,1,1230223
1,2,7,0,1,0,6,17,8,0,21,1,6010721
9,1,3,2,8,5,1,29,2,2160,19,1,1582319
7,9,9,9,9,7,9,59,5,2893401,97,1,9799997
3,4,4,1,1,5,1,19,1,240,43,1,1511443
1,8,6,7,2,1,3,28,1,2016,81,1,3127681
3,4,6,4,6,5,3,31,4,25920,43,1,3564643
3,7,3,0,8,9,7,37,1,0,73,1,7980373
9,1,7,5,3,4,6,35,8,22680,19,1,6435719
1,0,9,6,2,3,4,25,7,0,1,1,4326901
9,4,3,2,4,0,9,31,4,0,49,1,9042349
7,1,3,7,0,1,1,20,2,0,17,1,1107317
1,4,8,9,2,5,5,34,7,14400,41,1,5529841
7,5,3,8,9,9,2,43,7,136080,57,1,2998357
7,8,6,0,1,1,9,32,5,0,87,1,9110687
1,2,7,8,5,6,5,34,7,16800,21,1,5658721
9,3,4,2,5,3,8,34,7,25920,39,1,8352439
3,6,7,3,9,1,5,34,7,17010,63,1,5193763
3,8,4,5,1,5,3,29,2,7200,83,1,3515483
1,0,8,3,6,9,7,34,7,0,1,1,7963801
9,4,3,6,0,1,3,26,8,0,49,1,3106349
3,3,9,5,8,2,8,38,2,51840,33,1,8285933
9,1,2,0,0,6,1,19,1,0,19,1,1600219
7,3,9,2,2,4,1,28,1,3024,37,1,1422937
9,3,6,6,3,4,1,32,5,11664,39,1,1436639
9,1,8,1,4,8,4,35,8,9216,19,1,4841819
1,0,3,0,2,1,4,11,2,0,1,1,4120301
3,7,4,5,3,0,1,23,5,0,73,1,1035473
9,9,7,9,7,4,8,53,8,1143072,99,1,8479799
1,3,2,8,4,9,4,31,4,6912,31,1,4948231
1,4,4,7,6,7,3,32,5,14112,41,1,3767441
3,3,4,1,0,0,6,17,8,0,33,1,6001433
3,6,7,3,7,5,4,35,8,52920,63,1,4573763
7,0,6,2,4,9,9,37,1,0,7,1,9942607
7,7,3,3,7,4,7,38,2,86436,77,1,7473377
7,0,2,2,7,2,5,25,7,0,7,1,5272207
7,9,5,1,8,1,7,38,2,17640,97,1,7181597
7,3,5,6,3,9,4,37,1,68040,37,1,4936537
9,5,8,2,1,3,7,35,8,15120,59,1,7312859
7,6,7,2,5,1,3,31,4,8820,67,1,3152767
1,5,1,5,1,5,4,22,4,500,51,1,4515151
1,8,8,8,8,3,8,44,8,98304,81,1,8388881
3,5,5,0,2,3,2,20,2,0,53,1,2320553
7,6,8,0,3,6,4,34,7,0,67,1,4630867
7,6,6,9,3,2,7,40,4,95256,67,1,7239667
7,0,1,3,9,5,9,34,7,0,7,1,9593107
1,4,9,1,0,4,4,23,5,0,41,1,4401941
7,4,3,4,5,2,7,32,5,23520,47,1,7254347
9,2,7,7,3,9,6,43,7,142884,29,1,6937729
7,2,3,3,3,3,5,26,8,5670,27,1,5333327
1,6,8,2,3,3,6,29,2,5184,61,1,6332861
7,9,9,8,9,5,9,56,2,1837080,97,1,9598997
9,5,2,2,1,0,9,28,1,0,59,1,9012259
9,6,2,8,5,6,7,43,7,181440,69,1,7658269
9,8,9,6,8,8,5,53,8,1244160,89,1,5886989
9,6,5,2,7,5,4,38,2,75600,69,1,4572569
1,9,3,8,3,5,3,32,5,9720,91,1,3538391
1,2,4,5,4,8,1,25,7,1280,21,1,1845421
7,7,6,8,9,6,6,49,4,762048,77,1,6698677
7,3,8,1,5,8,8,40,4,53760,37,1,8851837
7,8,0,0,7,3,4,29,2,0,87,1,4370087
7,3,7,7,2,8,1,35,8,16464,37,1,1827737
3,1,9,7,2,5,5,32,5,9450,13,1,5527913
3,5,5,0,4,4,1,22,4,0,53,1,1440553
7,4,1,4,0,6,4,26,8,0,47,1,4604147
9,3,9,4,8,5,5,43,7,194400,39,1,5584939
1,6,4,9,9,1,1,31,4,1944,61,1,1199461
9,4,2,6,1,0,3,25,7,0,49,1,3016249
3,9,9,8,7,8,3,47,2,326592,93,1,3878993
3,4,0,2,4,6,7,26,8,0,43,1,7642043
9,0,1,3,6,4,6,29,2,0,9,1,6463109
1,4,3,5,7,9,8,37,1,30240,41,1,8975341
9,9,1,4,4,2,9,38,2,23328,99,1,9244199
9,9,8,5,9,0,4,44,8,0,99,1,4095899
7,3,8,3,9,5,5,40,4,113400,37,1,5593837
1,9,2,8,7,9,4,40,4,36288,91,1,4978291
7,3,2,4,4,9,6,35,8,36288,37,1,6944237
7,1,7,4,4,5,4,32,5,15680,17,1,4544717
3,5,9,3,4,6,8,38,2,77760,53,1,8643953
1,7,1,1,2,3,8,23,5,336,71,1,8321171
3,2,6,9,6,3,3,32,5,17496,23,1,3369623
3,8,0,0,1,8,3,23,5,0,83,1,3810083
9,6,5,0,3,4,2,29,2,0,69,1,2430569
9,3,3,2,7,5,3,32,5,17010,39,1,3572339
1,7,5,3,6,1,2,25,7,1260,71,1,2163571
9,5,0,7,4,9,7,41,5,0,59,1,7947059
1,8,7,5,2,9,6,38,2,30240,81,1,6925781
3,1,0,6,3,8,8,29,2,0,13,1,8836013
7,0,1,3,5,4,9,29,2,0,7,1,9453107
3,3,3,2,9,7,7,34,7,23814,33,1,7792333
9,6,2,9,2,5,2,35,8,19440,69,1,2529269
3,2,8,2,9,1,9,34,7,7776,23,1,9192823
7,5,5,6,6,8,4,41,5,201600,57,1,4866557
3,5,4,2,1,3,7,25,7,2520,53,1,7312453
7,7,1,0,5,2,4,26,8,0,77,1,4250177
3,4,2,5,6,9,6,35,8,38880,43,1,6965243
9,4,5,9,6,6,4,43,7,233280,49,1,4669549
7,8,4,8,2,3,3,35,8,32256,87,1,3328487
9,5,8,3,9,4,3,41,5,116640,59,1,3493859
9,9,4,3,4,5,7,41,5,136080,99,1,7543499
1,9,2,1,3,6,9,31,4,2916,91,1,9631291
1,8,9,4,6,5,8,41,5,69120,81,1,8564981
9,0,4,8,8,0,2,31,4,0,9,1,2088409
9,4,6,9,1,8,6,43,7,93312,49,1,6819649
3,2,6,9,1,9,8,38,2,23328,23,1,8919623
9,3,7,3,2,1,1,26,8,1134,39,1,1123739
7,3,6,4,3,6,3,32,5,27216,37,1,3634637
1,6,6,0,4,1,8,26,8,0,61,1,8140661
7,4,3,0,4,6,5,29,2,0,47,1,5640347
3,8,3,7,0,9,2,32,5,0,83,1,2907383
7,9,8,4,4,8,7,47,2,451584,97,1,7844897
1,6,0,4,6,6,2,25,7,0,61,1,2664061
1,9,4,6,9,3,8,40,4,46656,91,1,8396491
3,9,9,6,8,4,8,47,2,373248,93,1,8486993
7,8,9,3,2,5,1,35,8,15120,87,1,1523987
9,4,3,8,4,0,9,37,1,0,49,1,9048349
9,5,1,1,6,7,6,35,8,11340,59,1,6761159
1,6,5,7,3,5,1,28,1,3150,61,1,1537561
3,7,8,2,5,0,7,32,5,0,73,1,7052873
3,4,0,5,3,5,3,23,5,0,43,1,3535043
3,4,5,3,4,9,3,31,4,19440,43,1,3943543
9,6,2,1,9,4,7,38,2,27216,69,1,7491269
3,5,2,6,9,0,3,28,1,0,53,1,3096253
3,9,7,4,6,7,5,41,5,158760,93,1,5764793
3,1,8,5,0,9,9,35,8,0,13,1,9905813
7,6,1,5,1,1,8,29,2,1680,67,1,8115167
7,3,7,6,5,9,3,40,4,119070,37,1,3956737
3,0,0,4,1,6,3,17,8,0,3,1,3614003
7,4,1,7,4,2,4,29,2,6272,47,1,4247147
3,6,3,7,2,8,6,35,8,36288,63,1,6827363
3,9,3,5,8,2,7,37,1,45360,93,1,7285393
9,3,0,5,0,0,2,19,1,0,39,1,2005039
3,7,6,3,7,5,3,34,7,39690,73,1,3573673
7,6,9,9,7,6,2,46,1,285768,67,1,2679967
7,7,0,0,9,8,9,40,4,0,77,1,9890077
3,7,0,9,9,4,5,37,1,0,73,1,5499073
9,4,6,6,6,9,6,46,1,419904,49,1,6966649
7,3,7,2,1,3,8,31,4,7056,37,1,8312737
7,4,9,2,0,5,1,28,1,0,47,1,1502947
9,4,9,1,1,8,6,38,2,15552,49,1,6811949
3,4,4,0,0,3,2,16,7,0,43,1,2300443
1,2,6,3,8,3,6,29,2,5184,21,1,6383621
9,2,3,4,5,9,8,40,4,77760,29,1,8954329
3,6,0,7,9,3,7,35,8,0,63,1,7397063
1,3,9,5,4,5,7,34,7,18900,31,1,7545931
9,6,8,8,8,3,4,46,1,331776,69,1,4388869
3,6,6,5,2,7,3,32,5,22680,63,1,3725663
9,2,7,1,9,4,2,34,7,9072,29,1,2491729
1,4,7,9,2,9,2,34,7,9072,41,1,2929741
9,6,5,1,4,0,7,32,5,0,69,1,7041569
3,1,9,0,6,1,9,29,2,0,13,1,9160913
1,4,0,6,5,3,4,23,5,0,41,1,4356041
9,9,1,0,9,1,6,35,8,0,99,1,6190199
1,8,2,7,2,4,4,28,1,3584,81,1,4427281
1,2,7,4,9,0,9,32,5,0,21,1,9094721
3,1,0,0,1,9,9,23,5,0,13,1,9910013
9,3,4,2,6,3,5,32,5,19440,39,1,5362439
7,1,0,9,8,8,5,38,2,0,17,1,5889017
3,1,1,9,2,9,6,31,4,2916,13,1,6929113
7,9,6,7,6,9,2,46,1,285768,97,1,2967697
1,6,7,2,8,0,4,28,1,0,61,1,4082761
3,9,1,1,3,6,8,31,4,3888,93,1,8631193
7,3,0,4,2,6,7,29,2,0,37,1,7624037
1,5,3,9,2,1,8,29,2,2160,51,1,8129351
7,7,6,7,2,0,5,34,7,0,77,1,5027677
9,6,4,2,4,9,6,40,4,93312,69,1,6942469
9,0,4,4,1,3,1,22,4,0,9,1,1314409
9,7,6,1,4,8,2,37,1,24192,79,1,2841679
7,7,8,9,7,5,9,52,7,1111320,77,1,9579877
3,2,1,1,7,0,2,16,7,0,23,1,2071123
3,0,2,6,5,9,6,31,4,0,3,1,6956203
